date,total_views,unique_views
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,0,0
2022-08-31,3,1
2022-09-01,0,0
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,0,0
2022-09-08,19,2
2022-09-09,0,0
2022-09-10,10,1
2022-09-11,0,0
2022-09-12,0,0
2022-09-13,0,0
2022-09-14,0,0
2022-09-15,0,0
2022-09-16,0,0
2022-09-17,0,0
2022-09-18,0,0
2022-09-19,0,0
2022-09-20,9,1
2022-09-21,0,0
2022-09-22,5,1
2022-09-23,0,0
2022-09-24,3,1
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,0,0
2022-09-28,0,0
2022-09-29,0,0
2022-09-30,4,1
2022-10-01,0,0
2022-10-02,0,0
2022-10-03,1,1
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,4,1
2022-10-11,5,2
2022-10-12,6,2
2022-10-13,10,2
2022-10-14,62,8
2022-10-15,4,1
2022-10-16,6,1
2022-10-17,6,1
2022-10-18,5,2
2022-10-19,0,0
2022-10-20,2,1
2022-10-21,0,0
